Matricule;TrainingName;Date;Sequence;SequenceTime;CenterEyePosX;CenterEyePosY;CenterEyePosZ;CenterEyeRotX;CenterEyeRotY;CenterEyeRotZ;CenterEyeRotW;LeftHandPosX;LeftHandPosY;LeftHandPosZ;LeftHandRotX;LeftHandRotY;LeftHandRotZ;LeftHandRotW;RightHandPosX;RightHandPosY;RightHandPosZ;RightHandRotX;RightHandRotY;RightHandRotZ;RightHandRotW
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,94000010192394;-0,261609;1,708132;0,5840844;-0,007134336;0,00380677;0,01225443;0,9998923;-0,4741007;0,8297041;0,6497561;0,4224244;0,1011352;-0,4254425;0,7939321;-0,1388869;1,203482;0,724914;0,16258;0,1001486;-0,02183368;0,9813569
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,96000010147691;-0,2618373;1,70792;0,5837708;-0,006338931;0,001451194;0,01250898;0,9999007;-0,4745099;0,829621;0,6488956;0,423596;0,09877512;-0,4242432;0,7942466;-0,139363;1,203464;0,7249756;0,1623815;0,09853294;-0,02168281;0,9815567
08;Baseball Séquence 360;2025-05-27-14-59-08;1;5,98000010102987;-0,2619868;1,707815;0,5836003;-0,005893616;0,0002002418;0,01252134;0,9999043;-0,4746899;0,8295979;0,6484907;0,424054;0,09768352;-0,4236934;0,7944306;-0,1396894;1,203408;0,7249925;0,1624255;0,09741777;-0,0216652;0,9816611
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,00000010058284;-0,2623233;1,707577;0,5832437;-0,004833386;-0,002758622;0,01293461;0,9999009;-0,4751152;0,8295702;0,6472707;0,4251838;0,09520274;-0,4223391;0,794849;-0,1403452;1,203429;0,7249443;0,1625645;0,09553599;-0,02137325;0,9818294
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,0200001001358;-0,2625278;1,707467;0,5830764;-0,004471148;-0,004241109;0,01297892;0,9998968;-0,4752713;0,8295833;0,6465831;0,4256556;0,09417215;-0,4216397;0,7950905;-0,1406612;1,203491;0,7249025;0,1625293;0,09466121;-0,02127539;0,9819221
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,04000009968877;-0,2628029;1,707325;0,5828921;-0,004210456;-0,005732775;0,01297524;0,9998906;-0,4754287;0,829573;0,6457273;0,4261127;0,09341121;-0,4210824;0,7952307;-0,1409765;1,203569;0,7248576;0,1625208;0,09376479;-0,02135008;0,9820079
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,06000009924173;-0,2634367;1,707157;0,5826266;-0,003678495;-0,009057492;0,01316555;0,9998656;-0,4757524;0,8294783;0,6441591;0,4268251;0,09271401;-0,4206338;0,7951677;-0,1417023;1,203885;0,7247879;0,1624529;0,09193382;-0,02175924;0,9821832
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,0800000987947;-0,263705;1,707006;0,5824679;-0,003279868;-0,01074365;0,01343288;0,9998467;-0,4760318;0,8293707;0,6431983;0,4273604;0,0923816;-0,4203673;0,7950599;-0,1421405;1,204081;0,7247546;0,1620553;0,09092548;-0,02169473;0,9823442
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,10000009834766;-0,2642729;1,706586;0,5821545;-0,001707853;-0,01428425;0,01388126;0,9998002;-0,476652;0,8290956;0,6415732;0,4289091;0,0910162;-0,4192635;0,7949662;-0,1429683;1,204237;0,7247451;0,1614123;0,08907112;-0,02104422;0,9826339
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,12000009790063;-0,2645727;1,706331;0,5819931;-0,0006074896;-0,01608279;0,01406496;0,9997715;-0,4769818;0,8289337;0,6406942;0,4297241;0,09046599;-0,4188696;0,7947965;-0,1434317;1,204331;0,7247558;0,1613333;0,08810994;-0,02082752;0,9827383
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,14000009745359;-0,2653339;1,705568;0,5816032;0,002321072;-0,0199573;0,01360845;0,9997056;-0,4776914;0,8285719;0,6388932;0,4309856;0,08988848;-0,4190915;0,7940617;-0,1444341;1,204681;0,7247699;0,1610498;0,08571922;-0,02065263;0,9829998
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,16000009700656;-0,2656981;1,705173;0,5813557;0,004064524;-0,02193865;0,01339979;0,9996613;-0,4780831;0,8284101;0,6380509;0,4315284;0,08947548;-0,419162;0,7937762;-0,1448781;1,204935;0,7247877;0,1605523;0,08471024;-0,02038169;0,9831743
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,18000009655952;-0,265941;1,704838;0,5811669;0,005836952;-0,0239276;0,01306521;0,9996113;-0,4785509;0,8282536;0,6372707;0,4321614;0,08866683;-0,418814;0,7937062;-0,14526;1,205231;0,7247869;0,1598488;0,0840151;-0,02005383;0,9833553
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,20000009611249;-0,2664887;1,704164;0,5807607;0,009241421;-0,02760848;0,01266026;0,999496;-0,4794306;0,8279486;0,6358712;0,4338733;0,08672488;-0,417791;0,793526;-0,1460002;1,206033;0,7248584;0,1584972;0,08244199;-0,01961127;0,9837161
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,22000009566545;-0,2667381;1,703835;0,5805861;0,01086517;-0,02961388;0,01249592;0,9994243;-0,4798007;0,8277766;0,635205;0,4345664;0,08597112;-0,4174876;0,7933884;-0,1463339;1,206503;0,7248847;0,1576054;0,08159918;-0,01961288;0,9839296
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,24000009521842;-0,2673679;1,703138;0,5801971;0,01403404;-0,03356734;0,01202316;0,9992657;-0,4805744;0,8275692;0,6340719;0,4352296;0,08507544;-0,4177417;0,7929875;-0,1467543;1,207251;0,72491;0,1560623;0,08091819;-0,01932621;0,9842375
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,26000009477139;-0,2676887;1,702744;0,5799625;0,01562422;-0,03573462;0,01176656;0,9991699;-0,4809281;0,827567;0,6335807;0,4354146;0,08461541;-0,4178375;0,7928848;-0,1469758;1,207613;0,7249184;0,1551877;0,08068457;-0,0189831;0,9844016
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,28000009432435;-0,2683294;1,701998;0,5794867;0,01893049;-0,04015285;0,01146175;0,9989485;-0,4814857;0,827673;0,6329397;0,4357969;0,08342773;-0,4175636;0,7929449;-0,1476613;1,208488;0,724866;0,1525526;0,07961884;-0,01741561;0,9849291
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,30000009387732;-0,2686194;1,701637;0,579263;0,02074996;-0,04221961;0,01127818;0,9988292;-0,4816916;0,8277712;0,6327407;0,4358559;0,08278632;-0,4173543;0,7930899;-0,1480742;1,208861;0,7247993;0,1512878;0,07889616;-0,01622102;0,9852027
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,32000009343028;-0,2690839;1,700756;0,5787859;0,02448344;-0,04588571;0,01079161;0,9985883;-0,4820733;0,8280122;0,6324234;0,4357211;0,08180067;-0,4170427;0,7934301;-0,1488968;1,209498;0,7245486;0,1479436;0,0772559;-0,01287258;0,9858897
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,34000009298325;-0,2693136;1,700209;0,578532;0,02634859;-0,0475004;0,01070879;0,9984663;-0,4822487;0,8281412;0,6322563;0,4356387;0,08141363;-0,4170274;0,7935231;-0,1492145;1,20975;0,7243641;0,14609;0,07684025;-0,01112778;0,9862199
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,36000009253621;-0,269489;1,699674;0,5782664;0,02846682;-0,04884389;0,01054281;0,9983451;-0,4824306;0,8282579;0,6321135;0,4355465;0,08107623;-0,4170695;0,793586;-0,1495297;1,209935;0,7241255;0,1443223;0,07642081;-0,01001869;0,9865245
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,38000009208918;-0,2695691;1,698689;0,577715;0,03283341;-0,05086982;0,01056157;0,9981096;-0,4827669;0,8284626;0,6319377;0,4354305;0,08075237;-0,4172903;0,7935667;-0,1501353;1,21025;0,723609;0,1426482;0,07493462;-0,009015537;0,9868916
