Video Name	Timeline	Head Position. x	Head Position. y	Head Position. z	Head Rotation. x	Head Rotation. y	Head Rotation. z	Controller Right Position. x	Controller Right Position. y	Controller Right Position. z	Controller Right Rotation. x	Controller Right Rotation. y	Controller Right Rotation. z	Controller Left Position. x	Controller Left Position. y	Controller Left Position. z	Controller Left Rotation. x	Controller Left Rotation. y	Controller Left Rotation. z	Eye. x	Eye. y	Eye. z	Eye Left Blinking	Eye Right Blinking	Combine Eye Gaze Point. x	Combine Eye Gaze Point. y	Combine Eye Gaze Point. z	Combine Eye Gaze Vector. x	Combine Eye Gaze Vector. y	Combine Eye Gaze Vector. z	Left Eye Pose Status	Right Eye Pose Status	Left Eye Position Guide. x	Left Eye Position Guide. y	Left Eye Position Guide. z	Right Eye Position Guide. x	Right Eye Position Guide. y	Right Eye Position Guide. z	Foveated Gaze Direction. x	Foveated Gaze Direction. y	Foveated Gaze Direction. z	Foveated Gaze Tracking State
Boxe_EPreN4_2D_Testing_N1_S8_D	1.519999	0.2516	1.5879	-0.3762	7.7237	357.4388	358.1529	0.2969	0.6778	-0.4004	64.1559	359.8832	358.6023	0.1664	0.7219	-0.3956	54.835	357.9058	294.7037	-0.1804	0.4624	1.9605	True	True	0.0042	-0.0003	0.0236	-0.0917	0.2313	0.9686	52	52	0.5876	0.4787	0	0.5876	0.4787	0	-0.0901	0.2321	-0.9685	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.539999	0.2523	1.5879	-0.3757	7.6511	357.4146	358.0967	0.2965	0.6774	-0.3991	64.1363	359.7407	358.4504	0.1665	0.7216	-0.3944	54.8423	357.8673	294.6335	-0.1792	0.4623	1.9607	True	True	0.0039	-0.0003	0.0236	-0.0907	0.2312	0.9687	52	52	0.5877	0.4786	0	0.5877	0.4786	0	-0.0892	0.2321	-0.9686	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.559999	0.2527	1.5878	-0.3755	7.6255	357.4012	358.0612	0.2963	0.6774	-0.3985	64.1148	359.6546	358.3915	0.1666	0.7216	-0.3937	54.8237	357.8493	294.6326	-0.1781	0.4615	1.961	True	True	0.004	-0.0003	0.0236	-0.0903	0.2303	0.9689	52	52	0.5877	0.4787	0	0.5877	0.4787	0	-0.0887	0.2312	-0.9689	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.579999	0.2536	1.5878	-0.3751	7.6182	357.3778	358.018	0.2961	0.6778	-0.3972	64.0628	359.5234	358.273	0.1668	0.7218	-0.3921	54.8222	357.7847	294.5982	-0.175	0.4608	1.9614	True	True	0.0039	-0.0003	0.0236	-0.0874	0.2301	0.9692	52	52	0.5881	0.4788	0	0.5881	0.4788	0	-0.0859	0.2309	-0.9692	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.599999	0.254	1.5878	-0.375	7.6146	357.3642	357.9719	0.296	0.6789	-0.3966	64.0385	359.4706	358.1785	0.1669	0.7219	-0.3913	54.7123	357.7693	294.5451	-0.1733	0.4596	1.9619	True	True	0.0038	-0.0003	0.0236	-0.0873	0.2291	0.9695	52	52	0.5881	0.479	0	0.5881	0.479	0	-0.0858	0.2299	-0.9694	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.619999	0.2549	1.5876	-0.3748	7.6321	357.3521	357.8567	0.296	0.6801	-0.3956	63.9466	359.3619	358.0416	0.1671	0.7217	-0.3898	54.5831	357.6462	294.3819	-0.1704	0.4549	1.9632	True	True	0.0038	-0.0003	0.0235	-0.0851	0.2244	0.9708	52	52	0.5884	0.4812	0	0.5884	0.4812	0	-0.0837	0.2251	-0.9707	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.639999	0.2554	1.5875	-0.3748	7.654	357.3564	357.7863	0.2959	0.6806	-0.3952	63.9068	359.3136	357.9825	0.1673	0.7212	-0.3893	54.5251	357.5805	294.3243	-0.1455	0.4401	1.9682	True	True	0.0049	-0.0004	0.0235	-0.0604	0.2106	0.9757	52	52	0.5965	0.483	0	0.5965	0.483	0	-0.0583	0.2113	-0.9757	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.659999	0.2564	1.5874	-0.3748	7.6929	357.3837	357.6898	0.2957	0.6815	-0.3944	63.8168	359.2193	357.8478	0.1683	0.7221	-0.3882	54.3819	357.7222	294.347	-0.1202	0.4195	1.974	True	True	0.007	-0.0005	0.0236	-0.0492	0.1974	0.9791	52	52	0.6011	0.4861	0	0.6011	0.4861	0	-0.046	0.1981	-0.9791	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.679999	0.2569	1.5874	-0.3749	7.7074	357.4118	357.6552	0.2957	0.6819	-0.3942	63.7919	359.1582	357.7793	0.1688	0.723	-0.3878	54.2851	357.8397	294.4151	-0.1069	0.4083	1.9773	True	True	0.007	-0.0005	0.0236	-0.0492	0.1974	0.9791	52	52	0.6011	0.4861	0	0.6011	0.4861	0	-0.046	0.1981	-0.9791	0
Boxe_EPreN4_2D_Testing_N1_S8_D	1.699999	0.2574	1.5874	-0.375	7.7023	357.4623	357.6071	0.2956	0.682	-0.394	63.766	359.0811	357.6988	0.1692	0.7244	-0.3873	54.2256	357.9528	294.5319	-0.0993	0.4008	1.9794	True	True	0.0078	-0.0005	0.0236	-0.0491	0.1961	0.9794	52	52	0.6005	0.4856	0	0.6005	0.4856	0	-0.0456	0.1967	-0.9794	0
