section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368396440431,570.397,743.21,1,,29,0.33728890762414504,-14.909357258893605
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368400472431,556.989,761.696,1,,29,-0.694020103154854,-16.294303582372585
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368404463431,539.753,790.23,1,,29,-2.0376367357651737,-18.429483509440654
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368408495431,529.639,794.568,1,42,29,-2.826635725105494,-18.751050669498284
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368416598431,538.645,782.122,1,42,29,-2.1187385322379315,-17.82150798503051
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368420457431,541.084,778.216,1,42,29,-1.9276874403960726,-17.529428604623323
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368424472431,540.842,778.195,1,42,29,-1.9464641367130069,-17.527790661969995
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368428411431,542.005,775.107,1,42,29,-1.8548948948624433,-17.296715938936835
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368436449431,547.086,772.092,1,42,29,-1.4608344715855506,-17.07194163283149
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368440647431,545.494,777.848,1,42,29,-1.5863122785499513,-17.50291422398886
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368444487431,541.56,779.345,1,42,29,-1.8914777443884143,-17.614198281809927
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368448467431,531.276,785.096,1,42,29,-2.6919184343887967,-18.041916882398464
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368456427431,526.991,782.991,1,42,29,-3.022294132254883,-17.882428758706347
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368460463431,523.443,783.777,1,42,29,-3.2979394317977055,-17.93982007569653
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368464462431,521.964,784.496,1,42,29,-3.4132774409296056,-17.99301000828236
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368468432431,527.374,781.442,1,42,29,-2.991326759827497,-17.766558826503296
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368476461431,528.142,775.203,1,42,29,-2.9267076087432455,-17.299416709317025
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368480441431,530.06,772.997,1,42,29,-2.776761602981576,-17.134877972870065
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368484473431,527.377,769.495,1,42,29,-2.9813349194888046,-16.8715211402609
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368488434431,530.966,770.044,1,42,29,-2.70467535972292,-16.913985213619625
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368496475431,544.712,775.33,1,42,29,-1.645655457747154,-17.314062600022275
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368500450431,550.843,776.476,1,42,29,-1.1720266281244103,-17.401165929034413
